ФИО,Год_поступления,Форма_обучения,Средний_балл_аттестата,Общий_балл,Специальность,Адрес_регистрации,Телефон,ЦТ_Русский язык,ЦТ_Химия,ЦТ_Физика,ЦТ_Математика,ЦТ_История,ЦТ_Биология
Панфил Тихонович Лазарев,2019,Бюджет,9.4,304.4,Прикладная информатика,с. Барнаул,+7 073 137 2889,,,68.0,64.0,78.0,
Щукина Клавдия Рудольфовна,2020,Целевое,6.6,280.2,Прикладная информатика,п. Мичуринск,8 158 952 11 90,80.0,,61.0,,,73.0
Аверкий Жоресович Кошелев,2020,Целевое,5.7,223.0,Кибербезопасность,д. Бирск,8 (445) 992-43-66,52.0,,,54.0,,60.0
Всемил Адрианович Федотов,2019,Платка,7.4,305.3,Прикладная информатика,к. Оймякон,8 (414) 462-05-11,67.0,74.0,,90.0,,
Флорентин Богданович Кудрявцев,2019,Бюджет,7.2,346.8,История,с. Глазов,+7 272 154 84 33,,94.0,100.0,81.0,,
Никифорова Нонна Оскаровна,2020,Платка,7.7,279.1,Радиофизика,с. Лянтор,8 (598) 717-06-04,71.0,,,,55.0,76.0
Евдокимов Всеслав Исидорович,2022,Платка,7.6,362.7,Информатика,д. Южно-Курильск,8 798 482 6692,93.0,,,100.0,,94.0
Фомин Лукьян Германович,2019,Целевое,6.6,312.7,История,г. Аргаяш,8 (229) 488-02-25,98.0,,,72.0,77.0,
Селиверст Харлампович Бобров,2019,Целевое,7.0,285.1,Психология,ст. Городовиковск,+71380577479,59.0,69.0,,87.0,,
Козлов Наум Демидович,2021,Целевое,6.0,334.7,Радиофизика,д. Медногорск,+70729433778,,91.0,,100.0,,84.0
Тарасов Сидор Гурьевич,2022,Целевое,6.8,352.0,Информатика,д. Кинешма,8 (995) 182-8876,,,97.0,87.0,,100.0
Горбунова Марфа Оскаровна,2020,Бюджет,7.7,271.2,Кибербезопасность,ст. Воронеж,88985555627,61.0,73.0,,,,60.0
Евгения Вадимовна Виноградова,2021,Целевое,6.8,293.7,Информатика,к. Ангарск,8 628 477 4238,81.0,63.0,,82.0,,
Алевтина Вадимовна Рыбакова,2023,Бюджет,9.0,350.5,История,п. Шатура,+7 (726) 934-28-78,74.0,,,86.0,100.0,
Оксана Вениаминовна Егорова,2023,Платка,7.9,305.3,Психология,д. Волхов,8 (889) 766-41-97,83.0,,,72.0,71.0,
Тарас Бориславович Голубев,2020,Целевое,6.2,325.4,Радиофизика,ст. Чехов,+7 103 880 17 00,79.0,89.0,95.0,,,
Абрамова Олимпиада Эдуардовна,2023,Бюджет,7.8,377.9,История,ст. Смирных,+7 420 585 31 20,100.0,,100.0,,100.0,
Ярополк Ермилович Молчанов,2021,Бюджет,6.6,232.7,Информатика,д. Елабуга,+7 (811) 511-65-24,62.0,,45.0,60.0,,
Буров Арсений Борисович,2022,Целевое,5.0,195.2,Прикладная информатика,п. Саров (Морд.),+7 (549) 995-2438,,58.0,,42.0,45.0,
Елизавета Ивановна Дроздова,2021,Бюджет,7.9,303.3,Философия,ст. Красноселькуп,88458624786,,,53.0,,81.0,90.0
Исакова Мария Тимуровна,2021,Бюджет,5.9,252.6,Психология,клх Андреаполь,8 765 059 6572,68.0,,61.0,65.0,,
Алевтина Ивановна Блинова,2023,Бюджет,8.3,303.6,Международные отношения,клх Арсеньев,80575590188,,80.0,59.0,,,82.0
Рюрик Эдуардович Евдокимов,2021,Целевое,7.4,284.1,История,ст. Снежногорск (Мурм.),8 (857) 357-06-75,70.0,64.0,76.0,,,
Элеонора Валериевна Абрамова,2023,Платка,7.4,285.9,Прикладная математика,ст. Дагомыс,+7 (266) 157-2505,,64.0,72.0,,,76.0
Фаина Юльевна Шилова,2021,Бюджет,6.7,346.9,Философия,клх Щельяюр,8 (182) 637-0136,,100.0,92.0,,,88.0
Некрасов Владилен Гаврилович,2020,Целевое,8.5,300.6,Международные отношения,ст. Мурманск,+7 (355) 394-21-68,69.0,64.0,,,,83.0
Артемьев Гедеон Зиновьевич,2022,Платка,6.5,288.3,Кибербезопасность,к. Малая Вишера,8 355 288 83 29,,74.0,,72.0,,77.0
Эмилия Романовна Мясникова,2023,Бюджет,6.7,353.7,Психология,ст. Шилка,+7 (464) 253-8760,,97.0,90.0,,100.0,
тов. Маркова Виктория Мироновна,2019,Целевое,8.6,323.2,История,к. Урай,8 660 426 4757,66.0,,,80.0,91.0,
Панова Милица Тарасовна,2023,Платка,8.0,339.7,Информатика,г. Выборг,82683095891,,,100.0,82.0,78.0,
Ковалева Агата Дмитриевна,2021,Целевое,6.3,267.8,Философия,г. Новая Игирма,8 (748) 178-3158,,,64.0,,74.0,67.0
Артемьева Варвара Богдановна,2022,Бюджет,7.2,343.2,Международные отношения,с. Южно-Сахалинск,87376915393,,83.0,88.0,,100.0,
Прокл Герасимович Щербаков,2023,Целевое,6.3,334.1,Информатика,г. Камышлов,+7 506 053 90 45,,92.0,,100.0,,79.0
Юлий Ермолаевич Матвеев,2019,Целевое,8.8,268.6,Информатика,клх Тверь,8 (707) 876-7006,48.0,,70.0,,63.0,
Наина Олеговна Горбачева,2020,Платка,7.0,308.6,Международные отношения,п. Новочеркасск,+7 086 877 1158,75.0,,73.0,,91.0,
Евфросиния Ждановна Михеева,2021,Бюджет,7.1,277.3,Прикладная информатика,с. Волгоград,8 (524) 967-16-04,71.0,,80.0,,,55.0
Федоров Мирон Исидорович,2021,Платка,9.1,338.7,Информатика,с. Ульяновск,8 819 310 7403,64.0,,84.0,100.0,,
Симонова Виктория Богдановна,2021,Платка,7.0,314.4,Прикладная математика,д. Приозерск,8 603 828 9162,71.0,,,94.0,,79.0
Юлий Трофимович Капустин,2021,Бюджет,9.0,293.8,Психология,г. Шелагонцы,+7 191 405 8594,79.0,59.0,,,66.0,
Прокофий Ефимович Блохин,2023,Целевое,7.6,275.9,Радиофизика,д. Руза,+7 351 991 19 19,,,71.0,,68.0,61.0
Тимофей Вилорович Шашков,2021,Целевое,7.4,252.2,Радиофизика,с. Семлячики,8 121 423 39 29,43.0,60.0,,75.0,,
Ларионов Касьян Гаврилович,2020,Целевое,7.8,323.8,Международные отношения,п. Хоста,+7 (538) 203-32-70,,89.0,,,85.0,72.0
Ирина Викторовна Корнилова,2022,Целевое,9.5,356.6,Международные отношения,ст. Луховицы,+79893948041,,,77.0,85.0,100.0,
Влас Ефимьевич Елисеев,2020,Бюджет,6.3,248.5,Лечебное дело,д. Вязьма,+7 (905) 401-62-10,,76.0,,63.0,47.0,
Азарий Тарасович Никитин,2020,Бюджет,7.9,290.7,Лечебное дело,г. Томпа,8 012 549 1699,,87.0,61.0,64.0,,
Суворов Иосиф Изотович,2022,Платка,9.5,283.9,Международные отношения,д. Сухиничи,8 (240) 796-14-69,60.0,,,77.0,,52.0
Нинель Васильевна Цветкова,2022,Бюджет,7.4,321.7,Прикладная математика,к. Карпинск,8 (381) 341-0183,,,91.0,,72.0,85.0
Елизавета Рубеновна Копылова,2020,Бюджет,7.5,292.1,Кибербезопасность,к. Троицк (Челяб.),+7 (958) 122-66-39,75.0,,73.0,,69.0,
Любовь Михайловна Карпова,2023,Бюджет,5.7,355.8,Кибербезопасность,д. Двинской,8 (315) 033-8620,,,99.0,100.0,100.0,
Кириллов Ананий Фролович,2021,Бюджет,7.8,187.9,Психология,к. Салехард,8 623 413 60 35,,,,29.0,48.0,33.0
Тамара Оскаровна Романова,2019,Бюджет,8.7,318.9,Международные отношения,п. Магадан,89846961418,71.0,,,,81.0,80.0
Иванна Святославовна Королева,2020,Бюджет,7.6,290.0,История,ст. Химки,89500930766,,,62.0,,78.0,74.0
Ангелина Захаровна Козлова,2020,Целевое,7.0,267.8,Кибербезопасность,клх Камышлов,+78647949056,76.0,53.0,,,69.0,
Куликова Светлана Архиповна,2021,Платка,6.6,326.5,Лечебное дело,д. Балтийск,+7 (180) 347-62-35,83.0,,,95.0,82.0,
Лобанов Радован Даниилович,2022,Платка,7.3,214.9,Лечебное дело,г. Шамары,+7 507 280 3880,,,51.0,48.0,43.0,
Ратмир Давыдович Савин,2023,Целевое,7.1,353.9,История,г. Переславль-Залесский,8 084 541 99 73,95.0,,100.0,,,88.0
Варлаам Всеволодович Смирнов,2019,Бюджет,6.9,283.3,Информатика,с. Ярославль,+7 (066) 380-41-43,,,,80.0,65.0,69.0
Анастасия Васильевна Михеева,2023,Бюджет,7.4,329.2,История,г. Мостовской,8 011 437 5345,,,79.0,100.0,,76.0
Егоров Ананий Владленович,2023,Бюджет,4.6,305.4,Философия,с. Юрьев-Польский,8 751 799 26 52,94.0,,,,69.0,96.0
Панфил Адамович Третьяков,2019,Целевое,8.2,244.9,Международные отношения,д. Руза,+7 (135) 973-36-27,,,32.0,,85.0,46.0
Архипова Марина Кирилловна,2022,Платка,7.6,292.3,Радиофизика,к. Невельск,+7 (540) 456-99-79,69.0,,,79.0,68.0,
Лора Юрьевна Савельева,2020,Платка,6.1,216.5,Психология,с. Вологда,81575825314,,,34.0,54.0,,67.0
Ювеналий Федосьевич Тихонов,2023,Целевое,7.6,288.5,Прикладная математика,к. Токма,+7 (246) 423-3386,,82.0,63.0,,,68.0
Лаврентьева Оксана Петровна,2019,Целевое,5.3,313.4,Радиофизика,г. Елатьма,8 (458) 525-20-82,81.0,,,83.0,96.0,
Епифан Александрович Савельев,2020,Целевое,5.9,185.5,Прикладная информатика,клх Энгельс,+7 (893) 924-95-93,47.0,44.0,,,,36.0
Максимов Мирон Евстигнеевич,2020,Платка,7.5,350.1,Психология,с. Тотьма,+72677394191,100.0,82.0,,,93.0,
Самсонова Александра Робертовна,2023,Платка,5.6,230.2,Радиофизика,ст. Бугульма,+78481668591,59.0,48.0,,,67.0,
Попова Ольга Геннадьевна,2020,Платка,7.4,260.1,Кибербезопасность,п. Печора,+7 (539) 447-68-20,50.0,,,,68.0,68.0
Макарова Тамара Михайловна,2021,Целевое,7.5,233.3,Психология,с. Курумкан,84981892280,,53.0,,,65.0,40.0
Князева Пелагея Борисовна,2023,Платка,7.4,273.3,Прикладная информатика,д. Новомичуринск,+7 (629) 528-02-92,56.0,,67.0,,,76.0
Субботина Агафья Васильевна,2020,Платка,7.8,334.8,Лечебное дело,к. Александровск,+75938978275,90.0,,90.0,77.0,,
Шубин Кузьма Андреевич,2023,Платка,6.4,349.3,Кибербезопасность,ст. Армавир,87443519000,,85.0,,100.0,100.0,
Кудряшов Аполлон Федотович,2022,Целевое,7.4,350.3,Международные отношения,д. Колпашево,8 (596) 623-88-92,100.0,,88.0,88.0,,
Фирс Матвеевич Субботин,2023,Платка,8.6,328.2,Лечебное дело,п. Невельск,+7 (780) 964-4807,65.0,89.0,,88.0,,
Потапов Аникей Антонович,2021,Бюджет,5.1,245.7,Радиофизика,д. Омск,+7 648 589 3584,,,,68.0,66.0,61.0
г-жа Давыдова Фаина Кирилловна,2023,Целевое,7.9,302.4,Кибербезопасность,ст. Дагомыс,8 (237) 481-80-83,,66.0,,87.0,70.0,
Дмитрий Иларионович Якушев,2022,Платка,6.6,357.7,Лечебное дело,к. Алагир,+7 854 455 81 18,,100.0,100.0,92.0,,
Любовь Юрьевна Шарапова,2019,Целевое,8.2,337.3,История,г. Череповец,8 411 474 86 80,84.0,,88.0,,83.0,
Валентина Степановна Гуляева,2020,Целевое,8.9,325.5,Прикладная математика,д. Лотошино,+7 489 724 62 77,,64.0,85.0,87.0,,
Щукин Нифонт Артёмович,2020,Бюджет,6.5,192.5,Радиофизика,ст. Шамары,8 (405) 635-7601,39.0,38.0,,,,50.0
Виноградова Евгения Кирилловна,2022,Целевое,5.9,269.3,Прикладная информатика,д. Чехов,+7 192 037 0593,,,63.0,88.0,59.0,
Антонина Архиповна Журавлева,2019,Целевое,6.9,223.4,Философия,п. Смирных,+7 523 313 86 43,52.0,39.0,,,63.0,
Капитон Филиппович Шарапов,2021,Бюджет,7.0,299.1,Радиофизика,п. Ревда (Сверд.),8 (606) 159-60-19,,,94.0,,57.0,78.0
Николаева Алина Эдуардовна,2023,Бюджет,7.1,346.0,Информатика,к. Курчатов,8 125 056 20 51,,81.0,100.0,,,94.0
Маслова Виктория Матвеевна,2019,Целевое,6.6,282.8,Философия,к. Сорочинск,8 (311) 488-06-93,,58.0,,68.0,91.0,
Святополк Эдгарович Кулаков,2019,Целевое,7.0,349.2,Международные отношения,с. Малгобек,+73145434082,100.0,79.0,,,100.0,
Лихачева Алевтина Ждановна,2022,Целевое,8.1,335.7,Международные отношения,к. Нальчик,8 (958) 021-7860,,88.0,93.0,,,74.0
Шестаков Демьян Геннадиевич,2022,Целевое,7.1,244.2,Психология,г. Рубцовск,8 013 831 64 87,53.0,,,49.0,,71.0
Потапова Вероника Кузьминична,2019,Платка,6.7,361.2,Философия,с. Каменск-Шахтинский,8 283 712 8855,94.0,,100.0,,100.0,
София Мироновна Герасимова,2022,Платка,6.8,288.3,Психология,клх Бронницы,+7 769 413 2927,68.0,,,67.0,85.0,
Алевтина Филипповна Самойлова,2020,Платка,8.0,194.9,Прикладная информатика,клх Малгобек,8 (629) 102-9641,,24.0,,53.0,,38.0
Жуков Панфил Эдгардович,2023,Бюджет,8.3,377.2,Лечебное дело,г. Ишим,+76776853843,,100.0,,,94.0,100.0
Гущина Варвара Ильинична,2023,Платка,6.8,326.8,Лечебное дело,п. Радужный,8 794 720 8321,85.0,,74.0,,,100.0
Степанова Варвара Тимуровна,2020,Целевое,7.8,371.7,Лечебное дело,клх Кострома,+7 (082) 654-8043,96.0,100.0,98.0,,,
Сафонов Измаил Гертрудович,2020,Бюджет,8.7,215.9,Прикладная информатика,ст. Славянск-на-Кубани,8 889 564 44 05,,34.0,55.0,,40.0,
Лапин Кир Аксёнович,2019,Бюджет,6.6,314.7,Информатика,клх Майкоп,+7 598 451 9869,55.0,,,94.0,,100.0
Мишин Александр Архипович,2019,Платка,6.8,302.7,Международные отношения,к. Глазов,8 (351) 407-95-36,84.0,74.0,,,77.0,
Афанасьев Савва Якубович,2023,Платка,8.2,292.0,Радиофизика,г. Саянск,8 242 711 45 14,,73.0,72.0,,,65.0
Радим Гаврилович Беляков,2020,Целевое,8.5,328.1,Международные отношения,клх Красноселькуп,+7 (273) 181-6681,,,87.0,82.0,,74.0
Лебедева Раиса Харитоновна,2023,Бюджет,8.6,249.3,Кибербезопасность,клх Пышма,89019141894,,47.0,,,48.0,68.0
Лариса Валентиновна Мартынова,2022,Бюджет,7.3,343.5,Философия,к. Тамбей,+7 (238) 933-0677,100.0,,,,84.0,86.0
г-н Васильев Куприян Адрианович,2019,Бюджет,8.6,342.5,История,д. Любань,84161339046,91.0,,78.0,,,88.0
Воронцова Агата Вячеславовна,2019,Платка,7.7,219.4,Кибербезопасность,клх Малгобек,+7 (387) 157-87-57,34.0,59.0,,,49.0,
Козлова Маргарита Альбертовна,2023,Платка,4.8,287.4,История,д. Токма,+7 (699) 520-8738,,67.0,89.0,,,83.0
Семенова Алевтина Руслановна,2021,Платка,6.4,347.2,Лечебное дело,клх Ржев,+7 796 137 7986,,,83.0,,100.0,100.0
Колобова Лукия Александровна,2022,Целевое,6.9,249.2,Психология,к. Торжок,8 (552) 702-19-64,58.0,62.0,,,,60.0
Мария Оскаровна Медведева,2022,Бюджет,6.8,196.4,Прикладная информатика,к. Голицыно,+7 (679) 313-20-76,43.0,,59.0,,26.0,
Ермил Юльевич Селиверстов,2021,Бюджет,8.1,351.0,Лечебное дело,к. Каспийск,+78903597615,81.0,,,,96.0,93.0
Януарий Жоресович Коновалов,2020,Целевое,5.2,239.8,Кибербезопасность,с. Тобольск,+7 (966) 836-7998,,,61.0,70.0,,57.0
Ия Матвеевна Жданова,2022,Платка,9.3,294.0,Международные отношения,к. Печора,8 970 402 3319,,69.0,55.0,,77.0,
Маргарита Оскаровна Сазонова,2021,Платка,9.0,308.2,Радиофизика,клх Морозовск,8 584 339 3243,78.0,,,79.0,61.0,
Кира Игоревна Кузнецова,2019,Целевое,8.3,270.9,Психология,д. Городовиковск,8 (729) 080-20-70,66.0,,62.0,60.0,,
Осипова Жанна Васильевна,2022,Целевое,6.8,368.0,Психология,к. Междуреченский,+7 (685) 763-33-12,,100.0,,100.0,,100.0
Харитонов Доброслав Феодосьевич,2021,Платка,8.0,279.6,Философия,ст. Мончегорск,8 (377) 879-35-48,68.0,57.0,,,75.0,
Феврония Харитоновна Артемьева,2019,Платка,8.5,339.1,История,клх Кострома,+7 (327) 026-8152,,87.0,80.0,87.0,,
Всеслав Жоресович Самсонов,2023,Целевое,8.8,347.6,Психология,г. Касимов,89764255565,89.0,,71.0,,100.0,
Горбунов Тимур Августович,2021,Платка,7.5,262.6,Международные отношения,с. Тамбов,+7 336 728 31 71,68.0,,,,59.0,61.0
Светлана Николаевна Орлова,2019,Платка,7.5,219.0,Кибербезопасность,к. Таштагол,8 142 058 01 03,,40.0,,,50.0,54.0
Алла Геннадьевна Гусева,2020,Целевое,8.5,298.3,Прикладная информатика,ст. Подольск,+7 408 720 10 01,,68.0,,,73.0,72.0
Субботин Евсей Дмитриевич,2019,Бюджет,6.1,328.7,Философия,д. Лабытнанги,+7 153 338 7997,81.0,87.0,100.0,,,
Зуева Ия Егоровна,2021,Целевое,7.2,234.4,Психология,д. Муром,8 856 899 6082,,46.0,,,53.0,63.0
Фомичева Анжела Вячеславовна,2022,Платка,7.4,334.2,Радиофизика,с. Ахтубинск,+7 (421) 149-5860,88.0,,,,84.0,88.0
Екатерина Георгиевна Ситникова,2020,Бюджет,7.3,238.9,Психология,д. Горячий Ключ,+7 (266) 313-19-78,,,48.0,64.0,54.0,
Надежда Валериевна Алексеева,2019,Бюджет,6.4,254.2,Прикладная информатика,клх Александровск-Сахалинский,80688098099,,,60.0,71.0,,59.0
Гаврила Теймуразович Михайлов,2019,Платка,8.9,322.2,Радиофизика,к. Пятигорск,+7 (763) 168-2955,83.0,,,77.0,73.0,
Евфросиния Валентиновна Галкина,2023,Бюджет,6.8,361.4,Прикладная информатика,с. Казань,+7 728 203 40 46,,100.0,100.0,93.0,,
Евдокия Ивановна Рожкова,2022,Платка,8.4,332.9,Международные отношения,к. Теберда,8 327 191 4184,93.0,69.0,87.0,,,
Федоров Радован Григорьевич,2020,Бюджет,8.4,287.2,Прикладная математика,г. Черняховск,+7 (961) 007-4602,,,67.0,72.0,64.0,
Ираклий Александрович Пономарев,2021,Платка,7.9,248.4,Информатика,д. Грозный,+7 (288) 312-6363,40.0,52.0,,,,77.0
Анна Матвеевна Сазонова,2022,Бюджет,7.2,352.2,История,с. Жигулевск,+7 862 767 6541,93.0,,88.0,,99.0,
Мишин Остап Даниилович,2023,Платка,7.4,363.0,Информатика,клх Яшкуль,+7 492 414 9497,100.0,,,,100.0,89.0
Венедикт Бориславович Кулаков,2023,Платка,8.3,298.9,Прикладная информатика,клх Видное,+7 240 865 5134,,63.0,76.0,,,77.0
Медведев Тихон Феодосьевич,2022,Платка,8.5,273.5,Кибербезопасность,д. Усть-Кут,+7 (707) 034-88-50,62.0,77.0,,,,50.0
Беляев Ираклий Артемьевич,2021,Бюджет,7.5,290.2,Философия,с. Нарым,86405069405,,,79.0,73.0,63.0,
Козлов Данила Авдеевич,2021,Платка,6.6,272.0,Международные отношения,д. Каргополь,87795845662,,,,73.0,74.0,59.0
Захарова Таисия Леоновна,2021,Бюджет,8.5,304.0,Прикладная математика,к. Курильск,+7 619 740 8288,,88.0,73.0,,,58.0
Евфросиния Петровна Родионова,2023,Платка,7.3,327.7,Радиофизика,с. Камышлов,+79399646867,,,86.0,,88.0,81.0
Афанасьев Василий Харлампьевич,2020,Бюджет,6.2,347.0,Лечебное дело,п. Златоуст,8 709 054 5478,100.0,,,,85.0,100.0
Мария Александровна Герасимова,2021,Бюджет,7.5,253.9,Психология,д. Соликамск,8 701 224 52 47,,43.0,70.0,,,66.0
Данилов Феофан Дмитриевич,2023,Платка,9.1,363.7,Кибербезопасность,д. Колпашево,8 (708) 116-61-75,,,100.0,96.0,,77.0
Гришин Евлампий Егорович,2020,Платка,6.2,315.9,Психология,г. Видное,8 (071) 918-0265,,,,78.0,91.0,85.0
Вишнякова Виктория Федоровна,2023,Платка,6.5,314.9,Кибербезопасность,ст. Яхрома,8 221 672 2191,,79.0,78.0,93.0,,
Яковлев Доброслав Трифонович,2019,Целевое,7.6,283.7,Психология,клх Каменск-Уральский,8 216 480 9928,73.0,,85.0,50.0,,
Корнилов Захар Ефимьевич,2021,Бюджет,7.4,274.7,Лечебное дело,ст. Курчатов,+7 (428) 696-0510,80.0,,,69.0,,52.0
Адриан Жоресович Гусев,2019,Бюджет,7.9,283.3,Философия,г. Моршанск,+7 (109) 982-2336,,,70.0,80.0,,54.0
Доронина Эмилия Николаевна,2022,Платка,8.0,355.1,Прикладная математика,ст. Камень-на-Оби,8 213 137 6020,100.0,87.0,,,,88.0
Петухова Раиса Вадимовна,2021,Бюджет,6.7,249.8,Радиофизика,с. Воскресенск,8 (206) 431-4164,,59.0,60.0,64.0,,
София Никифоровна Дорофеева,2019,Целевое,4.1,102.0,Психология,д. Щелково,+7 903 362 4998,,,14.0,,16.0,31.0
Суханова Надежда Юльевна,2022,Бюджет,8.3,356.6,Международные отношения,с. Воркута,+7 (207) 033-90-73,,,85.0,89.0,,100.0
Галина Львовна Жукова,2020,Целевое,7.2,346.2,Прикладная информатика,п. Благовещенск (Амур.),8 081 447 22 21,,,100.0,94.0,,80.0
Евстафий Артурович Мясников,2023,Целевое,8.3,327.4,Психология,п. Далматово,+7 352 399 5175,,,80.0,,90.0,74.0
Анжелика Ефимовна Морозова,2021,Бюджет,6.5,361.4,Психология,п. Цимлянск,85682067870,100.0,,,96.0,100.0,
Рябов Рюрик Вячеславович,2022,Целевое,8.4,371.6,Прикладная математика,с. Чебаркуль,+7 121 410 66 57,93.0,95.0,100.0,,,
Фёкла Болеславовна Константинова,2020,Бюджет,7.5,293.4,Прикладная математика,ст. Пятигорск,8 (786) 023-0752,,61.0,71.0,,,86.0
Аверьян Арсеньевич Большаков,2020,Платка,8.5,318.9,Лечебное дело,п. Торжок,+7 570 583 7676,,,,86.0,65.0,83.0
Григорий Иосифович Фадеев,2019,Бюджет,7.8,280.0,Философия,клх Югорск,8 (543) 850-2783,,,64.0,,72.0,66.0
Лидия Дмитриевна Кулагина,2019,Бюджет,6.3,262.6,История,д. Калач-на-Дону,85984156557,,,60.0,59.0,,81.0
Пестов Евгений Гордеевич,2021,Целевое,6.9,300.2,Кибербезопасность,с. Раменское,+7 (932) 127-4144,74.0,69.0,,88.0,,
Шилов Филарет Харлампович,2023,Бюджет,7.3,327.7,Философия,к. Чикола,8 383 242 63 55,90.0,,79.0,,,86.0
Тетерин Тит Августович,2023,Целевое,6.9,320.4,Прикладная математика,с. Арсеньев,84158419100,,80.0,84.0,,,87.0
Абрамов Касьян Чеславович,2022,Платка,8.2,268.9,Прикладная математика,г. Иркутск,+7 (491) 880-5323,46.0,66.0,75.0,,,
Кириллова Синклитикия Даниловна,2022,Целевое,7.5,314.5,Информатика,ст. Инта,+7 (670) 581-63-76,,83.0,,,69.0,88.0
Никонова Милица Евгеньевна,2022,Бюджет,7.6,298.0,Философия,с. Белорецк,+7 781 757 72 68,,70.0,70.0,,82.0,
Алла Анатольевна Тихонова,2022,Платка,7.6,352.3,Прикладная информатика,с. Томск,+7 175 746 83 24,87.0,,90.0,,99.0,
Смирнова Алла Федоровна,2023,Бюджет,7.4,355.0,Информатика,клх Гагарин,+7 (991) 154-24-19,,93.0,,,90.0,98.0
Семенова Екатерина Ниловна,2021,Платка,7.5,178.2,Кибербезопасность,клх Голицыно,8 (548) 363-9783,,,,40.0,21.0,42.0
Мясникова София Рубеновна,2019,Целевое,7.8,236.5,Философия,клх Кострома,+7 478 565 5266,,51.0,56.0,,51.0,
г-жа Суханова Лора Филипповна,2019,Целевое,8.3,321.4,Информатика,клх Ведено,+7 (433) 638-78-54,,,78.0,,76.0,84.0
Соловьев Лонгин Еремеевич,2022,Целевое,9.4,362.3,Философия,с. Тихорецк,+74236175790,,87.0,88.0,,93.0,
Нонна Яковлевна Белякова,2022,Целевое,7.6,284.2,Информатика,клх Сеймчан,8 (862) 919-0651,,73.0,,72.0,63.0,
Алла Наумовна Чернова,2019,Бюджет,6.9,317.6,Лечебное дело,к. Люберцы,8 012 719 1946,84.0,,83.0,82.0,,
Ульян Бориславович Прохоров,2019,Платка,8.4,311.7,История,п. Северо-Курильск,8 (327) 632-78-40,,,59.0,87.0,82.0,
Гордеева Александра Викторовна,2022,Целевое,6.3,249.1,Прикладная математика,д. Бологое,+7 827 427 75 57,,60.0,,,63.0,63.0
Крюков Арефий Арсеньевич,2021,Бюджет,8.5,312.6,Лечебное дело,г. Гагарин,8 (566) 933-07-04,88.0,,,75.0,65.0,
Мария Альбертовна Зуева,2022,Бюджет,4.7,283.2,Информатика,к. Богучар,8 918 286 08 65,,76.0,,94.0,,66.0
Милий Владиленович Тихонов,2022,Платка,4.0,303.0,Информатика,г. Валаам,+7 (332) 907-7401,87.0,76.0,,100.0,,
Шарова Таисия Альбертовна,2019,Целевое,10.0,313.0,Лечебное дело,п. Ростов-на-Дону,8 (304) 280-0235,64.0,72.0,,77.0,,
Лыткин Кузьма Анисимович,2023,Бюджет,7.3,283.0,Лечебное дело,г. Инта,8 (285) 744-7305,,,66.0,80.0,,64.0
Дементьева Вера Михайловна,2020,Целевое,7.3,281.2,Информатика,ст. Раменское,+7 (338) 727-79-43,64.0,,74.0,,70.0,
Пахомов Кир Данилович,2023,Платка,8.4,233.9,Международные отношения,г. Урай,8 187 345 43 93,73.0,38.0,,39.0,,
Таисия Тимуровна Куликова,2022,Бюджет,7.2,307.8,Информатика,ст. Кыштым,+7 (658) 988-5525,69.0,,91.0,,,76.0
Игнатий Геннадиевич Быков,2021,Целевое,7.0,242.0,Философия,с. Кемерово,+7 126 421 86 17,,,42.0,,66.0,64.0
Григорий Захарьевич Костин,2021,Целевое,7.9,312.7,Радиофизика,к. Карачаевск,+7 (484) 896-0807,91.0,66.0,,,,77.0
Леон Марсович Морозов,2021,Целевое,7.2,306.6,Радиофизика,г. Ишим,8 147 315 3515,76.0,,98.0,,61.0,
Титов Харлампий Геннадиевич,2023,Целевое,7.4,299.2,Международные отношения,п. Дмитров,+7 573 070 3980,77.0,73.0,,,,75.0
Князев Борис Тимурович,2022,Бюджет,6.2,327.4,История,г. Кировск (Ленин.),+7 768 607 2748,90.0,88.0,,87.0,,
Елизавета Леоновна Тарасова,2019,Целевое,5.2,300.1,Психология,п. Уэлен,+70078228234,,88.0,71.0,89.0,,
Елисей Бенедиктович Моисеев,2020,Бюджет,6.7,298.2,Информатика,клх Бодайбо,+7 (108) 638-00-61,86.0,68.0,,77.0,,
Адам Харлампович Романов,2023,Целевое,8.9,299.0,Прикладная информатика,д. Белоярский,84411884073,72.0,,72.0,,66.0,
Парамон Афанасьевич Андреев,2019,Платка,8.1,290.8,Психология,ст. Аргаяш,8 (788) 229-13-05,,56.0,72.0,,82.0,
тов. Зиновьев Феоктист Ильич,2021,Целевое,8.9,232.2,Психология,клх Подольск,80730427094,47.0,36.0,60.0,,,
Лыткина Кира Яковлевна,2019,Целевое,7.3,373.3,Прикладная информатика,к. Агата,8 576 875 25 18,,,100.0,,100.0,100.0
Сорокин Устин Бенедиктович,2021,Платка,7.4,244.1,История,д. Калининград,+7 (311) 133-2460,,,58.0,53.0,,59.0
Филатов Пахом Давыдович,2021,Бюджет,6.9,216.7,Прикладная информатика,д. Котельнич,+75911161405,50.0,,,,48.0,50.0
Марина Владимировна Дмитриева,2019,Платка,6.8,367.7,Прикладная информатика,ст. Токсово,+7 661 763 9054,,100.0,,,100.0,100.0
Юлия Олеговна Кузьмина,2020,Целевое,8.7,249.6,Радиофизика,с. Троицко-Печорск,8 (350) 627-96-08,43.0,,,59.0,61.0,
