ФИО,Год_поступления,Форма_обучения,Средний_балл_аттестата,Общий_балл,Специальность,Адрес_регистрации,Телефон,ЦТ_Русский язык,ЦТ_Химия,ЦТ_Физика,ЦТ_Математика,ЦТ_История,ЦТ_Биология
Зуев Виктор Глебович,2021,Бюджет,7.1,277.3,Прикладная информатика,ст. Онега,8 764 531 1055,71.0,,80.0,,,55.0
Соболева Зоя Тарасовна,2021,Платка,9.1,338.7,Информатика,ст. Белореченск,8 (387) 202-3505,64.0,,84.0,100.0,,
Эмилия Михайловна Елисеева,2021,Платка,7.0,314.4,Прикладная математика,п. Нарткала,88132914229,71.0,,,94.0,,79.0
Симонова Евгения Тарасовна,2021,Бюджет,9.0,293.8,Психология,ст. Великий Устюг,8 084 983 90 99,79.0,59.0,,,66.0,
Самсонова Лукия Натановна,2023,Целевое,7.6,275.9,Радиофизика,с. Пышма,+7 (091) 297-4138,,,71.0,,68.0,61.0
Лобанов Доброслав Егорович,2021,Целевое,7.4,252.2,Радиофизика,к. Адлер,+79038706020,43.0,60.0,,75.0,,
Авдеев Климент Адамович,2020,Целевое,7.8,323.8,Международные отношения,с. Таганрог,8 (044) 635-82-83,,89.0,,,85.0,72.0
Пелагея Леоновна Носова,2022,Целевое,9.5,356.6,Международные отношения,с. Назрань,+74114679957,,,77.0,85.0,100.0,
Софрон Ефимович Щукин,2020,Бюджет,6.3,248.5,Лечебное дело,клх Ревда (Сверд.),8 (462) 240-3777,,76.0,,63.0,47.0,
Жанна Кузьминична Жукова,2020,Бюджет,7.9,290.7,Лечебное дело,клх Архыз,8 (057) 182-0158,,87.0,61.0,64.0,,
Алла Натановна Сидорова,2022,Платка,9.5,283.9,Международные отношения,д. Снежинск,8 627 978 8953,60.0,,,77.0,,52.0
Веселова Василиса Валериевна,2022,Бюджет,7.4,321.7,Прикладная математика,д. Шелагонцы,+7 (563) 399-32-21,,,91.0,,72.0,85.0
Спиридон Матвеевич Фролов,2020,Бюджет,7.5,292.1,Кибербезопасность,ст. Ардон,8 195 282 8391,75.0,,73.0,,69.0,
Алина Тарасовна Силина,2023,Бюджет,5.7,355.8,Кибербезопасность,г. Братск,8 (904) 951-61-12,,,99.0,100.0,100.0,
Милован Демидович Буров,2021,Бюджет,7.8,187.9,Психология,с. Рубцовск,8 727 090 02 47,,,,29.0,48.0,33.0
Матвей Егорович Рябов,2019,Бюджет,8.7,318.9,Международные отношения,ст. Мезень,8 (364) 662-0187,71.0,,,,81.0,80.0
Платон Германович Куликов,2020,Бюджет,7.6,290.0,История,клх Арсеньев,8 (982) 783-42-10,,,62.0,,78.0,74.0
Меркушев Светозар Елизарович,2020,Целевое,7.0,267.8,Кибербезопасность,д. Бугуруслан,+7 825 004 99 68,76.0,53.0,,,69.0,
Александра Андреевна Козлова,2021,Платка,6.6,326.5,Лечебное дело,г. Прохладный,8 674 930 4419,83.0,,,95.0,82.0,
Терентьев Тимур Владиславович,2022,Платка,7.3,214.9,Лечебное дело,д. Малгобек,8 390 511 41 56,,,51.0,48.0,43.0,
Мефодий Жанович Галкин,2023,Целевое,7.1,353.9,История,ст. Белореченск,8 (291) 963-31-05,95.0,,100.0,,,88.0
Станислав Владиленович Селиверстов,2019,Бюджет,6.9,283.3,Информатика,д. Великий Устюг,+7 (252) 573-17-89,,,,80.0,65.0,69.0
Степанова Анастасия Рудольфовна,2023,Бюджет,7.4,329.2,История,с. Южно-Курильск,+78792035655,,,79.0,100.0,,76.0
Авдей Чеславович Алексеев,2023,Бюджет,4.6,305.4,Философия,с. Тырныауз,+71767176058,94.0,,,,69.0,96.0
Смирнов Андрей Ильич,2019,Целевое,8.2,244.9,Международные отношения,клх Псков,+7 (289) 082-5961,,,32.0,,85.0,46.0
Елисеева Ксения Натановна,2022,Платка,7.6,292.3,Радиофизика,г. Малгобек,8 (999) 995-84-31,69.0,,,79.0,68.0,
Павел Ермилович Фролов,2020,Платка,6.1,216.5,Психология,ст. Ноглики,+7 949 374 73 96,,,34.0,54.0,,67.0
Иннокентий Анатольевич Шестаков,2023,Целевое,7.6,288.5,Прикладная математика,к. Холмогоры,+7 (498) 392-27-07,,82.0,63.0,,,68.0
г-н Медведев Вениамин Гаврилович,2019,Целевое,5.3,313.4,Радиофизика,клх Новокузнецк,+7 985 124 6387,81.0,,,83.0,96.0,
Вера Ильинична Соколова,2020,Целевое,5.9,185.5,Прикладная информатика,с. Троицк (Челяб.),+7 (018) 183-38-15,47.0,44.0,,,,36.0
Аполлинарий Харлампьевич Русаков,2020,Платка,7.5,350.1,Психология,клх Дивногорск,8 407 572 4283,100.0,82.0,,,93.0,
Евфросиния Владиславовна Петухова,2023,Платка,5.6,230.2,Радиофизика,д. Шатки,8 412 047 8237,59.0,48.0,,,67.0,
Остромир Евстигнеевич Суворов,2020,Платка,7.4,260.1,Кибербезопасность,д. Урус-Мартан,+7 476 343 73 21,50.0,,,,68.0,68.0
Большакова Алина Борисовна,2021,Целевое,7.5,233.3,Психология,п. Эльтон,+7 (956) 230-4578,,53.0,,,65.0,40.0
Лукин Никандр Фадеевич,2023,Платка,7.4,273.3,Прикладная информатика,д. Троицко-Печорск,84849398298,56.0,,67.0,,,76.0
Елисеева Агата Тарасовна,2020,Платка,7.8,334.8,Лечебное дело,с. Коломна,88281099397,90.0,,90.0,77.0,,
Семенова Наталья Рубеновна,2023,Платка,6.4,349.3,Кибербезопасность,клх Гремячинск (Перм.),8 (245) 622-43-49,,85.0,,100.0,100.0,
Клавдия Геннадьевна Боброва,2022,Целевое,7.4,350.3,Международные отношения,ст. Краснотурьинск,8 513 369 14 13,100.0,,88.0,88.0,,
Дорофей Харламович Федосеев,2023,Платка,8.6,328.2,Лечебное дело,п. Шатки,89679144472,65.0,89.0,,88.0,,
София Константиновна Гаврилова,2021,Бюджет,5.1,245.7,Радиофизика,ст. Александров Гай,8 (723) 077-09-68,,,,68.0,66.0,61.0
Суворов Рюрик Иосипович,2023,Целевое,7.9,302.4,Кибербезопасность,с. Кабанск,+7 (411) 302-60-05,,66.0,,87.0,70.0,
Натан Игнатович Филиппов,2022,Платка,6.6,357.7,Лечебное дело,с. Балтийск,+75695406566,,100.0,100.0,92.0,,
Дьячков Самуил Гурьевич,2019,Целевое,8.2,337.3,История,с. Можайск,+78172204037,84.0,,88.0,,83.0,
Елизавета Яковлевна Пономарева,2020,Целевое,8.9,325.5,Прикладная математика,с. Армавир,8 852 714 6650,,64.0,85.0,87.0,,
г-жа Муравьева Лариса Рубеновна,2020,Бюджет,6.5,192.5,Радиофизика,ст. Ямбург,+7 563 610 27 66,39.0,38.0,,,,50.0
Иларион Брониславович Селезнев,2022,Целевое,5.9,269.3,Прикладная информатика,д. Касимов,+77881081069,,,63.0,88.0,59.0,
Ярослав Харитонович Елисеев,2019,Целевое,6.9,223.4,Философия,г. Камышлов,+7 817 754 70 93,52.0,39.0,,,63.0,
Аким Антонович Зайцев,2021,Бюджет,7.0,299.1,Радиофизика,ст. Буйнакск,8 382 068 4810,,,94.0,,57.0,78.0
Филатов Макар Адамович,2023,Бюджет,7.1,346.0,Информатика,п. Асино,+72788402768,,81.0,100.0,,,94.0
Иларион Исидорович Горбачев,2019,Целевое,6.6,282.8,Философия,с. Рославль,+7 (267) 627-0583,,58.0,,68.0,91.0,
Доброслав Эдуардович Мельников,2019,Целевое,7.0,349.2,Международные отношения,с. Калач-на-Дону,8 588 485 88 00,100.0,79.0,,,100.0,
Лев Гурьевич Лапин,2022,Целевое,8.1,335.7,Международные отношения,к. Чегем,8 646 725 99 23,,88.0,93.0,,,74.0
Артемьева Тамара Робертовна,2022,Целевое,7.1,244.2,Психология,клх Певек,+7 785 214 94 34,53.0,,,49.0,,71.0
Хохлова Милица Робертовна,2019,Платка,6.7,361.2,Философия,клх Ельня,8 863 960 7861,94.0,,100.0,,100.0,
Стоян Вячеславович Сафонов,2022,Платка,6.8,288.3,Психология,к. Видное,+7 (773) 072-87-19,68.0,,,67.0,85.0,
Радислав Антонович Игнатьев,2020,Платка,8.0,194.9,Прикладная информатика,к. Таганрог,+75297032784,,24.0,,53.0,,38.0
Громова Марфа Максимовна,2023,Бюджет,8.3,377.2,Лечебное дело,с. Губкин,80382781924,,100.0,,,94.0,100.0
Брагин Ростислав Давидович,2023,Платка,6.8,326.8,Лечебное дело,клх Печора,+7 646 045 3643,85.0,,74.0,,,100.0
Ираида Владимировна Кононова,2020,Целевое,7.8,371.7,Лечебное дело,клх Темрюк,+7 (395) 191-28-01,96.0,100.0,98.0,,,
Демьян Харламович Федоров,2020,Бюджет,8.7,215.9,Прикладная информатика,с. Элиста,+7 114 609 0934,,34.0,55.0,,40.0,
Данилова Евпраксия Аркадьевна,2019,Бюджет,6.6,314.7,Информатика,клх Завьялиха,+7 (284) 163-1331,55.0,,,94.0,,100.0
Устин Изотович Мартынов,2019,Платка,6.8,302.7,Международные отношения,д. Фатеж,8 951 085 0942,84.0,74.0,,,77.0,
Шарапова Ольга Александровна,2023,Платка,8.2,292.0,Радиофизика,с. Ряжск,+7 676 781 65 23,,73.0,72.0,,,65.0
Василиса Леоновна Медведева,2020,Целевое,8.5,328.1,Международные отношения,г. Ахтубинск,+7 (095) 166-1382,,,87.0,82.0,,74.0
Гостомысл Устинович Попов,2023,Бюджет,8.6,249.3,Кибербезопасность,п. Мыс Шмидта,8 (405) 059-4218,,47.0,,,48.0,68.0
Андроник Григорьевич Исаев,2022,Бюджет,7.3,343.5,Философия,д. Одинцово,+7 (862) 320-70-42,100.0,,,,84.0,86.0
Зинаида Борисовна Максимова,2019,Бюджет,8.6,342.5,История,клх Орел,83710374137,91.0,,78.0,,,88.0
Потапов Измаил Филиппович,2019,Платка,7.7,219.4,Кибербезопасность,д. Прохладный,8 (825) 728-60-13,34.0,59.0,,,49.0,
Самсонов Кирилл Изотович,2023,Платка,4.8,287.4,История,ст. Теберда,8 (524) 919-5054,,67.0,89.0,,,83.0
Октябрина Олеговна Лукина,2021,Платка,6.4,347.2,Лечебное дело,клх Ставрополь,8 771 639 24 15,,,83.0,,100.0,100.0
Ершова Полина Наумовна,2022,Целевое,6.9,249.2,Психология,с. Ивдель,85275537170,58.0,62.0,,,,60.0
Раиса Макаровна Галкина,2022,Бюджет,6.8,196.4,Прикладная информатика,к. Ногинск (Моск.),8 (318) 803-50-15,43.0,,59.0,,26.0,
Вячеслав Дорофеевич Воробьев,2021,Бюджет,8.1,351.0,Лечебное дело,к. Уэлен,+7 (075) 671-54-54,81.0,,,,96.0,93.0
Елисеева Кира Константиновна,2020,Целевое,5.2,239.8,Кибербезопасность,ст. Чермоз,+7 873 214 3595,,,61.0,70.0,,57.0
Стрелков Игорь Венедиктович,2022,Платка,9.3,294.0,Международные отношения,клх Химки,+7 237 278 5641,,69.0,55.0,,77.0,
Фаина Константиновна Жукова,2021,Платка,9.0,308.2,Радиофизика,д. Невельск,+7 (398) 727-3811,78.0,,,79.0,61.0,
Агата Александровна Козлова,2019,Целевое,8.3,270.9,Психология,ст. Апатиты,+72665012278,66.0,,62.0,60.0,,
Вадим Ермолаевич Колобов,2022,Целевое,6.8,368.0,Психология,г. Усинск,+7 158 203 4510,,100.0,,100.0,,100.0
Феврония Святославовна Семенова,2021,Платка,8.0,279.6,Философия,ст. Ступино,+7 826 382 0594,68.0,57.0,,,75.0,
Евстигней Анатольевич Мартынов,2019,Платка,8.5,339.1,История,ст. Южно-Курильск,+79669476556,,87.0,80.0,87.0,,
Голубев Аполлон Всеволодович,2023,Целевое,8.8,347.6,Психология,с. Дмитров,8 (260) 323-9523,89.0,,71.0,,100.0,
Евдокимова Анастасия Антоновна,2021,Платка,7.5,262.6,Международные отношения,д. Буденновск,+7 (572) 640-14-52,68.0,,,,59.0,61.0
Юрий Бориславович Владимиров,2019,Платка,7.5,219.0,Кибербезопасность,п. Александров Гай,+7 (794) 362-5256,,40.0,,,50.0,54.0
Суханова Ирина Робертовна,2020,Целевое,8.5,298.3,Прикладная информатика,клх Сибай,+7 887 589 82 54,,68.0,,,73.0,72.0
Александров Рубен Харлампьевич,2019,Бюджет,6.1,328.7,Философия,г. Калязин,8 909 815 5297,81.0,87.0,100.0,,,
Ангелина Робертовна Лобанова,2021,Целевое,7.2,234.4,Психология,ст. Шумиха,+7 658 812 69 24,,46.0,,,53.0,63.0
Осип Валерьевич Макаров,2022,Платка,7.4,334.2,Радиофизика,к. Лодейное Поле,8 922 926 2395,88.0,,,,84.0,88.0
Блинова Вероника Максимовна,2020,Бюджет,7.3,238.9,Психология,д. Шелехов,+7 085 117 59 34,,,48.0,64.0,54.0,
Мария Афанасьевна Горбачева,2019,Бюджет,6.4,254.2,Прикладная информатика,п. Бодайбо,+7 947 157 83 39,,,60.0,71.0,,59.0
Жданова Ирина Викторовна,2019,Платка,8.9,322.2,Радиофизика,п. Мирный,+7 130 079 1332,83.0,,,77.0,73.0,
Иванна Аскольдовна Исаева,2023,Бюджет,6.8,361.4,Прикладная информатика,клх Гремячинск (Бурят.),+7 (585) 238-1146,,100.0,100.0,93.0,,
Агафья Святославовна Панфилова,2022,Платка,8.4,332.9,Международные отношения,п. Сарапул,8 (265) 818-77-49,93.0,69.0,87.0,,,
Третьяков Савва Эдуардович,2020,Бюджет,8.4,287.2,Прикладная математика,д. Игарка,8 (615) 678-37-62,,,67.0,72.0,64.0,
Евдокия Кузьминична Третьякова,2021,Платка,7.9,248.4,Информатика,п. Мценск,89189706247,40.0,52.0,,,,77.0
Данилов Никита Бенедиктович,2022,Бюджет,7.2,352.2,История,с. Саратов,+7 852 820 9488,93.0,,88.0,,99.0,
Евлампий Аверьянович Пестов,2023,Платка,7.4,363.0,Информатика,клх Югорск,+7 (301) 787-27-52,100.0,,,,100.0,89.0
Фадеев Панкрат Теймуразович,2023,Платка,8.3,298.9,Прикладная информатика,д. Сортавала,8 (614) 412-55-89,,63.0,76.0,,,77.0
Аполлон Анисимович Мельников,2022,Платка,8.5,273.5,Кибербезопасность,к. Батайск,+7 843 992 1613,62.0,77.0,,,,50.0
Зыков Леон Игнатьевич,2021,Бюджет,7.5,290.2,Философия,п. Дзержинск,8 851 353 5877,,,79.0,73.0,63.0,
Людмила Леонидовна Устинова,2021,Платка,6.6,272.0,Международные отношения,г. Медногорск,8 972 890 1120,,,,73.0,74.0,59.0
Савин Тарас Харлампьевич,2021,Бюджет,8.5,304.0,Прикладная математика,к. Пушкино (Моск.),+7 784 482 80 03,,88.0,73.0,,,58.0
Януарий Вячеславович Марков,2023,Платка,7.3,327.7,Радиофизика,п. Крымск,+7 (762) 797-5944,,,86.0,,88.0,81.0
Архипова Ульяна Кирилловна,2020,Бюджет,6.2,347.0,Лечебное дело,клх Елец,+7 (673) 978-2360,100.0,,,,85.0,100.0
Элеонора Тимуровна Лаврентьева,2021,Бюджет,7.5,253.9,Психология,ст. Лесной (Сверд.),+7 659 117 6215,,43.0,70.0,,,66.0
Марина Георгиевна Волкова,2023,Платка,9.1,363.7,Кибербезопасность,клх Котельнич,+7 (319) 223-14-92,,,100.0,96.0,,77.0
Александра Олеговна Сафонова,2020,Платка,6.2,315.9,Психология,п. Ковров,+7 (794) 620-6089,,,,78.0,91.0,85.0
Варлаам Адрианович Белоусов,2023,Платка,6.5,314.9,Кибербезопасность,к. Славгород,8 669 646 73 80,,79.0,78.0,93.0,,
Князев Елисей Гордеевич,2019,Целевое,7.6,283.7,Психология,г. Пушкино (Моск.),8 (059) 959-0425,73.0,,85.0,50.0,,
Волкова Василиса Геннадьевна,2021,Бюджет,7.4,274.7,Лечебное дело,ст. Руза,+7 (274) 983-1285,80.0,,,69.0,,52.0
Белозерова Лидия Вадимовна,2019,Бюджет,7.9,283.3,Философия,д. Серафимович,8 801 153 8067,,,70.0,80.0,,54.0
Беспалов Август Валентинович,2022,Платка,8.0,355.1,Прикладная математика,клх Красноуральск,+7 941 549 7015,100.0,87.0,,,,88.0
Ольга Ниловна Тетерина,2021,Бюджет,6.7,249.8,Радиофизика,ст. Находка,+73927424931,,59.0,60.0,64.0,,
Беляев Измаил Афанасьевич,2019,Целевое,4.1,102.0,Психология,клх Томпа,8 971 307 44 82,,,14.0,,16.0,31.0
Фока Авдеевич Тарасов,2022,Бюджет,8.3,356.6,Международные отношения,с. Абинск,+7 (111) 167-93-30,,,85.0,89.0,,100.0
Аксенов Милен Демьянович,2020,Целевое,7.2,346.2,Прикладная информатика,клх Гатчина,+7 139 505 55 94,,,100.0,94.0,,80.0
Михеева Виктория Георгиевна,2023,Целевое,8.3,327.4,Психология,ст. Киров (Вятка),8 (854) 083-6376,,,80.0,,90.0,74.0
Мечислав Валерьянович Фадеев,2021,Бюджет,6.5,361.4,Психология,д. Дмитров,8 195 454 57 35,100.0,,,96.0,100.0,
Мстислав Фомич Доронин,2022,Целевое,8.4,371.6,Прикладная математика,с. Бавлы,8 014 432 92 82,93.0,95.0,100.0,,,
Наумова Татьяна Романовна,2020,Бюджет,7.5,293.4,Прикладная математика,д. Долинск,8 (280) 972-1660,,61.0,71.0,,,86.0
Юлия Тимуровна Ситникова,2020,Платка,8.5,318.9,Лечебное дело,г. Елец,+74655353722,,,,86.0,65.0,83.0
Фёкла Ждановна Харитонова,2019,Бюджет,7.8,280.0,Философия,ст. Ребриха,+7 938 161 3302,,,64.0,,72.0,66.0
Тихон Исидорович Власов,2019,Бюджет,6.3,262.6,История,ст. Шамары,8 (831) 118-91-34,,,60.0,59.0,,81.0
Тарасова Юлия Валериевна,2021,Целевое,6.9,300.2,Кибербезопасность,п. Орел,8 (815) 337-8067,74.0,69.0,,88.0,,
Вера Геннадиевна Кондратьева,2023,Бюджет,7.3,327.7,Философия,п. Добрянка,8 459 973 83 64,90.0,,79.0,,,86.0
Воронов Панкратий Геннадиевич,2023,Целевое,6.9,320.4,Прикладная математика,г. Нязепетровск,+7 (796) 292-4809,,80.0,84.0,,,87.0
Матвеева Регина Робертовна,2022,Платка,8.2,268.9,Прикладная математика,клх Сунтар,8 583 836 82 01,46.0,66.0,75.0,,,
Белозерова Ираида Николаевна,2022,Целевое,7.5,314.5,Информатика,ст. Бологое,+7 217 873 4285,,83.0,,,69.0,88.0
Игнатов Селиван Елисеевич,2022,Бюджет,7.6,298.0,Философия,клх Верхнее Пенжино,+7 383 691 99 48,,70.0,70.0,,82.0,
Галкин Василий Тихонович,2022,Платка,7.6,352.3,Прикладная информатика,к. Малоярославец,8 (890) 061-0453,87.0,,90.0,,99.0,
Крылов Якуб Данилович,2023,Бюджет,7.4,355.0,Информатика,к. Кетченеры,+7 (652) 014-3354,,93.0,,,90.0,98.0
Анжела Геннадиевна Ефимова,2021,Платка,7.5,178.2,Кибербезопасность,п. Армавир,83683582180,,,,40.0,21.0,42.0
Маргарита Леонидовна Баранова,2019,Целевое,7.8,236.5,Философия,г. Губкин,8 467 482 7567,,51.0,56.0,,51.0,
Варвара Захаровна Громова,2019,Целевое,8.3,321.4,Информатика,г. Алдан,+76771994380,,,78.0,,76.0,84.0
Самойлова Полина Тимуровна,2022,Целевое,9.4,362.3,Философия,с. Александровск,+7 797 814 7505,,87.0,88.0,,93.0,
Парфен Бориславович Маслов,2022,Целевое,7.6,284.2,Информатика,клх Тында,8 (932) 729-76-09,,73.0,,72.0,63.0,
Пантелеймон Валерьевич Молчанов,2019,Бюджет,6.9,317.6,Лечебное дело,г. Малгобек,+7 538 848 3913,84.0,,83.0,82.0,,
Акулина Владимировна Самсонова,2019,Платка,8.4,311.7,История,г. Лотошино,+7 124 235 4139,,,59.0,87.0,82.0,
Гришин Юлий Вилорович,2022,Целевое,6.3,249.1,Прикладная математика,к. Сергиев Посад,+73188069532,,60.0,,,63.0,63.0
Надежда Олеговна Богданова,2021,Бюджет,8.5,312.6,Лечебное дело,г. Нальчик,8 (540) 686-7830,88.0,,,75.0,65.0,
Лебедев Феофан Всеволодович,2022,Бюджет,4.7,283.2,Информатика,г. Саратов,+7 (789) 996-76-12,,76.0,,94.0,,66.0
Савва Денисович Одинцов,2022,Платка,4.0,303.0,Информатика,с. Владикавказ,+7 (094) 874-20-58,87.0,76.0,,100.0,,
Некрасова Ольга Афанасьевна,2019,Целевое,10.0,313.0,Лечебное дело,ст. Щелково,8 (968) 042-5241,64.0,72.0,,77.0,,
Петухов Самсон Всеволодович,2023,Бюджет,7.3,283.0,Лечебное дело,к. Тихвин,8 (982) 505-3078,,,66.0,80.0,,64.0
Казаков Симон Елисеевич,2020,Целевое,7.3,281.2,Информатика,к. Александровск-Сахалинский,+7 238 870 62 07,64.0,,74.0,,70.0,
Воронов Чеслав Устинович,2023,Платка,8.4,233.9,Международные отношения,д. Уссурийск,+7 928 422 55 15,73.0,38.0,,39.0,,
Жданова Анжела Вячеславовна,2022,Бюджет,7.2,307.8,Информатика,к. Джубга,+7 664 454 0442,69.0,,91.0,,,76.0
Василиса Алексеевна Муравьева,2021,Целевое,7.0,242.0,Философия,д. Богучар,+7 208 819 1221,,,42.0,,66.0,64.0
Всеслав Алексеевич Мельников,2021,Целевое,7.9,312.7,Радиофизика,п. Пышма,+7 (784) 608-9669,91.0,66.0,,,,77.0
Павлова Антонина Даниловна,2021,Целевое,7.2,306.6,Радиофизика,с. Мытищи,+7 (384) 879-7789,76.0,,98.0,,61.0,
Бирюков Виталий Архипович,2023,Целевое,7.4,299.2,Международные отношения,клх Калач,+7 744 934 14 73,77.0,73.0,,,,75.0
Калинина Наталья Даниловна,2022,Бюджет,6.2,327.4,История,п. Выборг,8 (698) 728-66-81,90.0,88.0,,87.0,,
Прокофий Исидорович Логинов,2019,Целевое,5.2,300.1,Психология,с. Верхний Уфалей,+7 (941) 662-1358,,88.0,71.0,89.0,,
Жукова Эмилия Борисовна,2020,Бюджет,6.7,298.2,Информатика,д. Балашов,8 535 912 42 68,86.0,68.0,,77.0,,
Самойлов Назар Фомич,2023,Целевое,8.9,299.0,Прикладная информатика,г. Пинега,+7 (031) 582-2126,72.0,,72.0,,66.0,
Ладимир Архипович Комаров,2019,Платка,8.1,290.8,Психология,д. Калач-на-Дону,8 (944) 807-56-32,,56.0,72.0,,82.0,
Киселев Аполлон Ануфриевич,2021,Целевое,8.9,232.2,Психология,к. Нурлат,+7 312 054 82 34,47.0,36.0,60.0,,,
Кир Изотович Куликов,2019,Целевое,7.3,373.3,Прикладная информатика,ст. Троицк (Челяб.),+7 817 196 2392,,,100.0,,100.0,100.0
Геннадий Анисимович Миронов,2021,Платка,7.4,244.1,История,к. Павловская,+7 512 061 8454,,,58.0,53.0,,59.0
Миронова София Кузьминична,2021,Бюджет,6.9,216.7,Прикладная информатика,п. Объячево,+77869374234,50.0,,,,48.0,50.0
Анисим Викентьевич Рыбаков,2019,Платка,6.8,367.7,Прикладная информатика,п. Карпинск,86615195961,,100.0,,,100.0,100.0
Гаврила Арсенович Матвеев,2020,Целевое,8.7,249.6,Радиофизика,клх Тамбов,8 806 420 26 18,43.0,,,59.0,61.0,
Дарья Святославовна Зыкова,2019,Платка,8.3,357.6,Информатика,ст. Дмитров,82953320011,,89.0,,88.0,98.0,
Селезнев Тихон Игнатович,2023,Бюджет,8.3,312.6,Кибербезопасность,с. Учалы,+7 017 206 2057,,63.0,81.0,,86.0,
Любосмысл Матвеевич Тимофеев,2019,Целевое,6.2,239.2,История,г. Дзержинск,82792821639,55.0,,,,71.0,51.0
Лазарев Борис Яковлевич,2023,Целевое,8.2,292.2,Психология,с. Сургут (Хант.),+7 979 324 9240,,,66.0,60.0,,84.0
Ситникова Антонина Никифоровна,2022,Бюджет,8.3,266.7,Международные отношения,с. Лабытнанги,8 793 003 9678,,59.0,59.0,66.0,,
Николай Брониславович Суханов,2023,Целевое,6.5,335.1,Психология,к. Муром,8 (551) 305-88-42,,,,86.0,90.0,94.0
Надежда Ниловна Ширяева,2019,Платка,6.0,275.7,Кибербезопасность,ст. Амурск,+7 030 470 05 86,,,71.0,,75.0,70.0
Петрова Антонина Рудольфовна,2022,Целевое,9.1,354.5,История,с. Аша,88793468008,,,89.0,,100.0,75.0
Любовь Игоревна Борисова,2020,Целевое,8.0,380.4,Лечебное дело,п. Троицк (Челяб.),+74307325384,100.0,,100.0,,100.0,
Велимир Германович Мухин,2019,Платка,7.3,255.3,Прикладная информатика,п. Новомосковск,80268529229,,64.0,,61.0,,57.0
Брагина Феврония Афанасьевна,2022,Платка,6.9,339.5,Философия,ст. Тихвин,+7 (001) 169-8727,100.0,70.0,100.0,,,
Вениамин Ильич Филатов,2021,Целевое,5.8,331.2,Кибербезопасность,с. Муравленко,+7 758 286 7101,82.0,91.0,,100.0,,
Эрнест Игнатович Коновалов,2021,Целевое,9.6,346.0,Международные отношения,г. Новороссийск,8 523 813 95 29,,,75.0,,95.0,80.0
Святослав Валерьянович Григорьев,2019,Бюджет,8.0,319.2,Прикладная информатика,ст. Тверь,8 152 932 67 48,81.0,72.0,86.0,,,
Акулина Алексеевна Александрова,2019,Целевое,7.9,338.9,Психология,ст. Чикола,85333772005,,,81.0,86.0,93.0,
Остромир Ааронович Бобылев,2019,Платка,8.1,245.0,Международные отношения,д. Курумкан,+7 (189) 017-0969,57.0,48.0,,59.0,,
Лидия Юрьевна Фадеева,2022,Бюджет,6.7,285.1,Лечебное дело,п. Вытегра,8 (145) 518-5741,,75.0,69.0,,74.0,
Стрелков Радим Филимонович,2023,Целевое,9.2,328.4,История,г. Миллерово,8 565 842 1600,,65.0,,,100.0,71.0
Яковлев Аполлон Гертрудович,2020,Целевое,5.7,315.3,История,г. Юрьевец (Иван.),+7 (443) 221-66-72,100.0,,,84.0,,74.0
Александра Владиславовна Степанова,2023,Бюджет,4.8,238.4,Психология,д. Грозный,8 536 519 04 51,,71.0,58.0,61.0,,
Карпов Всеволод Герасимович,2020,Целевое,8.2,263.8,Международные отношения,клх Белоярский,89578698904,,56.0,,52.0,74.0,
Мамонтов Софрон Федотович,2019,Бюджет,10.0,383.0,Прикладная информатика,п. Бавлы,83002379041,,95.0,,,96.0,92.0
Одинцова Эмилия Мироновна,2019,Платка,6.7,208.1,Радиофизика,ст. Александровск-Сахалинский,+7 887 778 2495,45.0,,59.0,,,37.0
Иванна Георгиевна Шашкова,2023,Целевое,6.5,333.8,История,д. Вуктыл,+7 411 494 6155,,100.0,,84.0,,85.0
Мир Артурович Жданов,2023,Бюджет,8.4,279.8,Информатика,клх Каргополь,8 (351) 807-2299,53.0,,75.0,,,68.0
Поликарп Давыдович Меркушев,2019,Бюджет,7.3,242.3,Философия,ст. Амдерма,+7 (944) 276-6937,,43.0,61.0,,65.0,
Борисов Казимир Данилович,2022,Платка,7.6,372.9,Философия,клх Рыльск,+75693199071,100.0,,100.0,97.0,,
Евдокия Ефимовна Александрова,2021,Платка,8.0,285.8,Информатика,клх Якутск,+75231985950,45.0,86.0,75.0,,,
Миронов Ферапонт Фёдорович,2021,Бюджет,10.0,293.0,Прикладная математика,г. Середниково,8 (406) 568-7947,65.0,71.0,,,,57.0
Субботина Элеонора Петровна,2023,Платка,7.5,266.2,Радиофизика,ст. Набережные Челны,+76310030356,55.0,72.0,64.0,,,
Пелагея Яковлевна Беляева,2020,Бюджет,8.4,282.6,Радиофизика,с. Кимры,+7 800 572 1557,66.0,,73.0,,,60.0
Елисеева Юлия Аскольдовна,2020,Целевое,8.0,379.6,История,г. Снежинск,+7 (817) 767-21-45,,100.0,100.0,,,100.0
Мечислав Бенедиктович Овчинников,2021,Платка,8.5,308.9,Кибербезопасность,п. Ахтубинск,89858775940,73.0,,87.0,,64.0,
Игорь Давидович Осипов,2023,Целевое,7.3,346.8,Психология,ст. Тында,+7 526 708 4747,81.0,,93.0,,100.0,
Лукьян Марсович Федотов,2023,Бюджет,6.0,340.4,Философия,д. Майкоп,+7 316 896 53 45,,,92.0,,96.0,92.0
